x1,y1,x2,y2,page,file
156.7017,434.4216,222.5898,443.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
101.1968,478.4216,125.0738,487.4216,32,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
372.4059,489.4216,399.9685,498.4216,32,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
101.2824,467.4216,348.3873,476.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
50.4567,412.4216,133.3377,421.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
330.0057,423.4216,352.3465,432.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
124.4798,192.4216,184.4549,201.4216,30,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
188.7431,346.4216,306.4631,355.4216,37,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
207.1917,456.4216,267.7347,465.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
184.2083,478.4216,263.0663,487.4216,32,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
193.2482096,718.6101417,403.6228827,734.8571721,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Wanderley, Orio, 2001.pdf"
144.5071184,734.8571721,451.4687626,751.1042025,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Wanderley, Orio, 2001.pdf"
101.1968,137.4216,124.8398,146.4216,30,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
367.4888,148.4216,403.0658,157.4216,30,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
50.4567,313.4216,240.2217,322.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
157.4977,324.4216,352.3387,333.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
125.5347,511.4216,348.3828,520.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
50.4567,170.4216,173.2707,179.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
322.3687,181.4216,352.3387,190.4216,31,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
101.1968,313.4216,114.5978,322.4216,32,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
146.0258,324.4216,399.9685,333.4216,32,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, 2015.pdf"
303.5113788,465.4234529,454.8970584,475.3884529,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
303.5113788,477.3037259,530.36955,487.2687259,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
333.991056,489.3035789,530.284992,499.2685789,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Levitin, McAdams, Adams, 2002.pdf"
47.8488,552.8280547,103.5457116,562.7906547,9,"/Users/fcac/Dropbox/Mendeley Organized Folder/Overholt, 2009.pdf"
47.8488,564.7901486,274.9512483,574.7527486,9,"/Users/fcac/Dropbox/Mendeley Organized Folder/Overholt, 2009.pdf"
47.8488,576.7522424,274.9562296,586.7148424,9,"/Users/fcac/Dropbox/Mendeley Organized Folder/Overholt, 2009.pdf"
47.8488,588.7143362,274.9173755,598.6769362,9,"/Users/fcac/Dropbox/Mendeley Organized Folder/Overholt, 2009.pdf"
93.82520274,600.6196432,274.950252,610.5822432,9,"/Users/fcac/Dropbox/Mendeley Organized Folder/Overholt, 2009.pdf"
148.875522,538.8220098,215.5378887,546.8219098,9,"/Users/fcac/Dropbox/Mendeley Organized Folder/Paine, 2013.pdf"
219.8866343,550.7842603,317.1494185,558.7841603,9,"/Users/fcac/Dropbox/Mendeley Organized Folder/Paine, 2013.pdf"
87.658,517.651132,285.513217,527.614132,48,"/Users/fcac/Dropbox/Mendeley Organized Folder/Huot, 2013.pdf"
277.602637,530.204132,448.707199,540.2201478,48,"/Users/fcac/Dropbox/Mendeley Organized Folder/Huot, 2013.pdf"
307.64104,693.393132,366.113887,703.356132,48,"/Users/fcac/Dropbox/Mendeley Organized Folder/Huot, 2013.pdf"
156.265,201.1022405,386.557,210.1022405,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
156.265,213.0983405,504.502,222.0983405,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
156.265,141.1172405,228.7141,150.1172405,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
156.265,153.1142405,504.3274,162.1142405,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
156.265,165.1112405,504.2473,174.1112405,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
150.268,165.8121537,153.061,172.8121537,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
156.265,177.1082405,376.1539,186.1082405,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
150.268,177.8101537,153.061,184.8101537,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
156.265,189.1052405,409.7491,198.1052405,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
150.268,189.8081537,153.061,196.8081537,240,"/Users/fcac/Dropbox/Mendeley Organized Folder/Buxton, 2007.pdf"
461.098,577.9558732,534.467405,590.379132,48,"/Users/fcac/Dropbox/Mendeley Organized Folder/Huot, 2013.pdf"
151.102413,705.946132,202.272381,717.9513237,48,"/Users/fcac/Dropbox/Mendeley Organized Folder/Huot, 2013.pdf"
102.0001,546.6941015,247.135,555.6941015,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bongers, 2007.pdf"
102.0001,557.6939015,340.0168,566.6939015,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bongers, 2007.pdf"
206.2291,568.6937015,340.0033,577.6937015,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bongers, 2007.pdf"
87.658,442.2026972,386.475479,452.3491478,48,"/Users/fcac/Dropbox/Mendeley Organized Folder/Huot, 2013.pdf"
164.203729,454.886132,448.3186,464.849132,48,"/Users/fcac/Dropbox/Mendeley Organized Folder/Huot, 2013.pdf"
87.658,577.9558732,259.031563,590.379132,48,"/Users/fcac/Dropbox/Mendeley Organized Folder/Huot, 2013.pdf"
221.291609,592.969132,448.31849,602.932132,48,"/Users/fcac/Dropbox/Mendeley Organized Folder/Huot, 2013.pdf"
36.008,505.2687569,103.3712,514.2687569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
36.008,516.7707569,194.3009,525.7707569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
36.008,528.2727569,173.9474,537.2727569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
36.008,539.7747569,182.861,548.7747569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
36.008,551.2767569,187.4879,560.2767569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
36.008,562.7787569,193.2245,571.7787569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
386,666.3597569,449.5391,675.3597569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
386,677.8617569,518.6672,686.8617569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
386,689.3637569,539.5886,698.3637569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
386,700.8657569,539.0198,709.8657569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
386,712.3202517,537.4403,721.3677569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
386,723.8222517,526.7744,732.8697569,4,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
54.171,388.815,267.26,397.814,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bowers, Villar, 2006.pdf"
57.6,420.79,280.662,430.753,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bertin et al., 2010.pdf"
57.6,432.745,295.208,442.708,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bertin et al., 2010.pdf"
129.842,444.701,295.208,454.664,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bertin et al., 2010.pdf"
57.6,226.304,228.216,236.267,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bertin et al., 2010.pdf"
57.6,238.259,295.208,248.222,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bertin et al., 2010.pdf"
57.6,250.214,295.208,260.177,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bertin et al., 2010.pdf"
57.6,262.169,295.208,272.132,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bertin et al., 2010.pdf"
57.6,274.124,295.208,284.087,1,"/Users/fcac/Dropbox/Mendeley Organized Folder/Bertin et al., 2010.pdf"
308.86,261.742,541.076,228.624,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
54.3088,513.213,268.425,479.71,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
54.6939,356.092,288.835,325.284,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
308.86,490.107,531.064,466.616,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
55.079,222.077,283.059,191.654,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
310.016,768.535,524.132,749.28,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
53.9237,480.095,284.599,450.057,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
55.4641,191.269,283.829,170.474,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
309.631,749.28,539.151,717.317,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
309.246,302.563,541.461,261.742,6,"/Users/fcac/Dropbox/Mendeley Organized Folder/Morreale, Angeli, O'Modhrain, 2014.pdf"
211,160.362,269.795,169.362,2,"/Users/fcac/Dropbox/Mendeley Organized Folder/Sanders, Stappers, 2014.pdf"
